Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Strength training duration (ms)
2025-01-11,10,1384.9865013542383,487.78008397976043,,,,,,,0.5202803648967343,0.9866007837777359,0.26047129311811457,1218,,,,,,909333,,,
2025-01-12,73,1511.662357543775,2551.238918748291,5.0,5,,,,,0.32807054817551096,1.2460295420010308,0.25116874693532476,4782,,,,,,3588995,,,
2025-01-13,22,1383.393586789937,921.8591745202173,,,,,,,0.3449482696079885,0.9683187571712755,0.25116874693532476,2037,,,,,,875637,,,
2025-01-14,11,1358.2341658738517,466.7595213941325,,,,,,,0.34165489500576784,1.1588519481490493,0.25116874693532476,1164,,,,,,343422,,,
2025-01-15,32,1418.1205393326577,1677.2345736554746,14.0,14,,,,,0.35923307761770273,1.0828544340734483,0.2790763676228067,3155,,,,,,1610239,,,
2025-01-16,16,1354.371237979899,653.8504953639964,3.0,3,,,,,0.430212538319905,1.4973826999638993,0.25116874693532476,1648,,,,,,261709,,,
2025-01-17,36,1400.0088304503472,1780.5147701740586,10.0,10,,,,,0.38676146910256054,1.3863698741656423,0.26047129311811457,3297,,,,,,1227111,,,
2025-01-18,8,1344.828801840156,217.4613954420044,,,,,,,0.45217624537218604,0.8534663289789179,0.2790763814012054,546,,,,,,59850,,,
2025-01-19,31,1460.3444856438214,2484.5996022669897,25.0,13,,,,,0.39550189702882027,2.4460069667683038,0.2552537666430909,3941,,,,,,729001,587917,,
2025-01-20,72,1618.1338902621994,5920.050596136498,69.0,36,,,,,0.4321784930410156,2.537754932517937,0.25116874693532476,8467,,,,,,1597710,1372998,,
2025-01-21,11,1356.1361505006619,487.69998192674365,,,,,,,0.5119115247284329,1.160950276575932,0.2569026271443588,1292,,,,,,299042,,,
2025-01-22,8,1353.0579090098145,320.21322235213387,,,,,,,0.37883054782301895,1.1599891848430703,0.25116874693532476,1081,,,,,,233926,,,
2025-01-23,44,1399.1017394680773,1703.947326728796,6.0,6,,,,,0.33610769507017585,1.1739510265810964,0.25116874693532476,3514,,,,,,1207921,,,
2025-01-24,7,1344.7971288594435,364.1647548631121,,,,,,,0.2796159412529684,0.3156966355035397,0.23966513970320227,880,,,,,,59180,,,
